   J     Train MSE       Test MSE        Train Time      Test Time
   2     3.3902003e+00   3.5501713e+00   4.0262292e-01   6.0269283e-01
   3     3.1651234e+00   3.3353497e+00   4.6346103e-01   6.3860393e-01
   4     3.0456395e+00   3.2165566e+00   4.9158233e-01   6.3288972e-01
   5     2.8581063e+00   2.9960750e+00   5.3612542e-01   6.7002396e-01
   6     2.7873489e+00   2.9170686e+00   5.8825607e-01   7.2267863e-01
   7     2.6829761e+00   2.7786747e+00   6.1283836e-01   7.1957732e-01
   8     2.6184488e+00   2.7122018e+00   7.3347195e-01   7.4204900e-01
   9     2.5565386e+00   2.6405535e+00   6.8967988e-01   6.9174340e-01
   10    2.5119134e+00   2.6226480e+00   7.0520274e-01   6.9133468e-01
   11    2.4744473e+00   2.5874796e+00   7.5306026e-01   7.6128957e-01
   12    2.3616342e+00   2.4630332e+00   7.5533689e-01   7.4033806e-01
   13    2.3225230e+00   2.4284261e+00   7.4827396e-01   7.4509719e-01
   14    2.2847670e+00   2.3994675e+00   7.2311150e-01   7.7240225e-01
   15    2.2514608e+00   2.3640348e+00   8.1393036e-01   7.3415174e-01
   16    2.2001522e+00   2.3111795e+00   7.5035016e-01   7.5326009e-01
   17    2.1676785e+00   2.2805379e+00   7.9482261e-01   7.8122019e-01
   18    2.1381411e+00   2.2693107e+00   8.0362908e-01   7.7481351e-01
   19    2.1016803e+00   2.2427871e+00   8.1807309e-01   7.8717046e-01
   20    2.0733827e+00   2.2095140e+00   9.6937206e-01   8.3920633e-01
   25    1.9319979e+00   2.0610219e+00   9.8054270e-01   9.0053828e-01
   30    1.8227998e+00   1.9561035e+00   1.0749615e+00   7.9944168e-01
   35    1.7543602e+00   1.9083287e+00   9.2981449e-01   8.5465010e-01
   40    1.6948918e+00   1.8588314e+00   1.0570160e+00   8.6147938e-01
   45    1.6438122e+00   1.8287473e+00   1.0195436e+00   8.0701414e-01
   50    1.6017895e+00   1.8047228e+00   1.0682295e+00   8.4338588e-01
   60    1.4963229e+00   1.7539684e+00   1.1312772e+00   8.2377523e-01
   70    1.4285542e+00   1.7243420e+00   1.1885382e+00   9.0731202e-01
   80    1.3757540e+00   1.6980486e+00   1.6572879e+00   1.2177040e+00
   90    1.3308895e+00   1.6768763e+00   1.3881741e+00   8.5812390e-01
   100   1.2847572e+00   1.6658085e+00   1.3853523e+00   8.7162430e-01
   150   1.1232894e+00   1.6389202e+00   1.5673987e+00   9.0321517e-01
   200   1.0143909e+00   1.6237935e+00   1.8437656e+00   9.0304311e-01
   300   8.6888592e-01   1.5938223e+00   2.5276136e+00   1.0004063e+00
   400   7.7621209e-01   1.6151844e+00   3.2670509e+00   9.8533020e-01
   500   7.0526259e-01   1.6285521e+00   4.2752440e+00   1.0663718e+00
   600   6.4912822e-01   1.6436481e+00   5.9324697e+00   1.0994110e+00
   700   6.0512056e-01   1.6738813e+00   7.0495359e+00   1.1341581e+00
   800   5.6606610e-01   1.6774620e+00   8.7266227e+00   1.1556584e+00
   900   5.3399130e-01   1.6947779e+00   1.0531396e+01   1.2096697e+00
   1000  5.0655446e-01   1.7143353e+00   1.2086182e+01   1.2270562e+00
